Model Name,Metric Name,Average Value,Depth Values,Inference Time
FNN,MSE,0.00015203164366539568,"[[[3.057651701965369e-05, 0.00010129107249667868, 0.00021125419880263507, 0.0002783933887258172, 0.000194738240679726, 0.00021082040620967746, 0.00017202060553245246, 0.00014373661542776972, 0.000130102300317958, 0.00011713802814483643, 9.141856571659446e-05, 6.122924241935834e-05, 0.00027386751025915146, 0.0001521460071671754, 0.00011174175597261637]]]",0.017847890958655625
FNN,RMSE,0.01181146502494812,"[[[0.005381505470722914, 0.009924094192683697, 0.014337277039885521, 0.016408119350671768, 0.013763079419732094, 0.014393326826393604, 0.012986906804144382, 0.011893144808709621, 0.011290552094578743, 0.010716577991843224, 0.009435227140784264, 0.0076655191369354725, 0.016243036836385727, 0.012206539511680603, 0.010527054779231548]]]",0.017847890958655625
FNN,MaxError,0.19226861000061035,"[[[0.13527125120162964, 0.11807429790496826, 0.19226861000061035, 0.19099920988082886, 0.13331854343414307, 0.1387837529182434, 0.11055934429168701, 0.1213417649269104, 0.09721827507019043, 0.09686070680618286, 0.08637309074401855, 0.07075977325439453, 0.1510736048221588, 0.11641061305999756, 0.06879279017448425]]]",0.017847890958655625
FNN,NRMSE,0.02771039493381977,"[[[0.011848680675029755, 0.021510304883122444, 0.028380703181028366, 0.03556811064481735, 0.02861872687935829, 0.02515929564833641, 0.02237630821764469, 0.020437277853488922, 0.0203038789331913, 0.01930265687406063, 0.016982482746243477, 0.013738066889345646, 0.06023631617426872, 0.04993045702576637, 0.041262660175561905]]]",0.017847890958655625
FNN,R2,0.9976526498794556,"[[[0.9996381998062134, 0.9988393783569336, 0.9979844689369202, 0.9968240261077881, 0.9979519248008728, 0.9984310865402222, 0.9987558722496033, 0.9989650249481201, 0.9989741444587708, 0.9990730881690979, 0.9992774724960327, 0.9995201826095581, 0.9909088015556335, 0.9938260912895203, 0.9958208799362183]]]",0.017847890958655625
LSTM,MSE,0.0006125980289652944,"[[[0.00046944207861088216, 0.0005129014025442302, 0.0006754439673386514, 0.0007430521072819829, 0.0006216423353180289, 0.0007330954540520906, 0.0007002343190833926, 0.0006994789582677186, 0.0006522251642309129, 0.0006398595869541168, 0.000609767041169107, 0.000540373963303864, 0.0007665707962587476, 0.0004642341809812933, 0.00036064922460354865]]]",0.023134545758366584
LSTM,RMSE,0.024037811905145645,"[[[0.021100828424096107, 0.022095879539847374, 0.025553958490490913, 0.026837114244699478, 0.024389857426285744, 0.02619614265859127, 0.0254496019333601, 0.02554064244031906, 0.024757005274295807, 0.02451762557029724, 0.023969700559973717, 0.02248322404921055, 0.02752884291112423, 0.021383995190262794, 0.018762756139039993]]]",0.023134545758366584
LSTM,MaxError,0.36928555369377136,"[[[0.14045870304107666, 0.15774673223495483, 0.2619037628173828, 0.36928555369377136, 0.18232840299606323, 0.16332906484603882, 0.1749870777130127, 0.1693260669708252, 0.16111594438552856, 0.19178998470306396, 0.19265055656433105, 0.15994852781295776, 0.2048514485359192, 0.13418975472450256, 0.10794329643249512]]]",0.023134545758366584
LSTM,NRMSE,0.054847560822963715,"[[[0.04645051062107086, 0.04787411540746689, 0.05057312548160553, 0.0581933856010437, 0.0507417656481266, 0.045812200754880905, 0.0438695028424263, 0.04389996454119682, 0.04452865198254585, 0.044163696467876434, 0.043142758309841156, 0.04029621183872223, 0.1021132543683052, 0.0875164195895195, 0.07353780418634415]]]",0.023134545758366584
LSTM,R2,0.9916247725486755,"[[[0.9944487810134888, 0.9941310882568359, 0.9935557246208191, 0.9915012717247009, 0.9934455752372742, 0.99453204870224, 0.9949246048927307, 0.9949579238891602, 0.9948529005050659, 0.9949347376823425, 0.9951797127723694, 0.9957632422447205, 0.9744892716407776, 0.9811269044876099, 0.9865267872810364]]]",0.023134545758366584
