Model Name,Metric Name,Average Value,Depth Values,Inference Time
FNN,MSE,0.0009203808149322867,"[[[0.000620186619926244, 0.0009912386303767562, 0.0015982519835233688, 0.00117944844532758, 0.0009650263236835599, 0.0012276899069547653, 0.0012367012677714229, 0.0012047594645991921, 0.001045996556058526, 0.0010373365366831422, 0.0010313758393749595, 0.0010401400504633784, 0.00021730564185418189, 0.00021237839246168733, 0.00019787595374509692]]]",0.01150870756013319
FNN,RMSE,0.02339952066540718,"[[[0.0195146556943655, 0.026699500158429146, 0.03467962145805359, 0.030603107064962387, 0.026540540158748627, 0.027120331302285194, 0.026451025158166885, 0.025298411026597023, 0.023323969915509224, 0.023249348625540733, 0.023133134469389915, 0.023216400295495987, 0.013911074958741665, 0.013974880799651146, 0.013276786543428898]]]",0.01150870756013319
FNN,MaxError,0.2290685772895813,"[[[0.1203722357749939, 0.1599445939064026, 0.2290685772895813, 0.17517387866973877, 0.15987837314605713, 0.17851924896240234, 0.17460733652114868, 0.17249691486358643, 0.15539902448654175, 0.1535496711730957, 0.156133234500885, 0.15073293447494507, 0.06571489572525024, 0.06663784384727478, 0.08434751629829407]]]",0.01150870756013319
FNN,NRMSE,0.0449020080268383,"[[[0.03833650425076485, 0.0515720434486866, 0.061111386865377426, 0.059145715087652206, 0.04918975755572319, 0.04237108677625656, 0.04070449247956276, 0.03877033293247223, 0.03734544292092323, 0.03727534040808678, 0.037085551768541336, 0.037076499313116074, 0.04598918929696083, 0.05107419192790985, 0.04648256301879883]]]",0.01150870756013319
FNN,R2,0.9880796074867249,"[[[0.990630567073822, 0.9855473637580872, 0.980687141418457, 0.9828761219978333, 0.9870639443397522, 0.9882963299751282, 0.9885609149932861, 0.9889494776725769, 0.9895262718200684, 0.9895808696746826, 0.9896399974822998, 0.9896298050880432, 0.9907296299934387, 0.988936185836792, 0.9905391335487366]]]",0.01150870756013319
LSTM,MSE,0.0005240481114014983,"[[[0.00038111634785309434, 0.0006664187530986965, 0.0011601168662309647, 0.0010251483181491494, 0.0006355654913932085, 0.0005341182113625109, 0.0005098403780721128, 0.0005014723283238709, 0.0004357438301667571, 0.0004161072720307857, 0.00041104978299699724, 0.0004157766525167972, 0.0002621951571200043, 0.00025929854018613696, 0.00024675382883287966]]]",0.014314959798939526
LSTM,RMSE,0.021914636716246605,"[[[0.019158370792865753, 0.025351645424962044, 0.03354364633560181, 0.03144489601254463, 0.025007346644997597, 0.022790128365159035, 0.022206246852874756, 0.021889619529247284, 0.0203443244099617, 0.01987779326736927, 0.01972869783639908, 0.019829630851745605, 0.016045378521084785, 0.015938283875584602, 0.0155635429546237]]]",0.014314959798939526
LSTM,MaxError,0.18495362997055054,"[[[0.12400662899017334, 0.1618213653564453, 0.18313539028167725, 0.1685638427734375, 0.18495362997055054, 0.14481407403945923, 0.11615651845932007, 0.12524408102035522, 0.09588891267776489, 0.10522240400314331, 0.11495459079742432, 0.10581320524215698, 0.11168846487998962, 0.09924095869064331, 0.08999323844909668]]]",0.014314959798939526
LSTM,NRMSE,0.043325554579496384,"[[[0.037643589079380035, 0.04905647039413452, 0.05920443311333656, 0.06073671206831932, 0.046353429555892944, 0.03560204058885574, 0.03417178988456726, 0.033552076667547226, 0.03258231282234192, 0.03187274560332298, 0.03162713721394539, 0.031665537506341934, 0.05304303392767906, 0.05826269090175629, 0.05450935289263725]]]",0.014314959798939526
LSTM,R2,0.9919554591178894,"[[[0.9942488074302673, 0.9902501702308655, 0.9859448075294495, 0.9851512908935547, 0.9914831519126892, 0.9949111938476562, 0.9952842593193054, 0.9953957200050354, 0.9956316947937012, 0.9958189129829407, 0.9958715438842773, 0.9958562850952148, 0.9888150095939636, 0.9864835143089294, 0.9881858825683594]]]",0.014314959798939526
Earthformer,MSE,8.41365908854641e-05,"[[[2.5695975637063384e-05, 0.00012987358786631376, 0.00026393320877105, 0.0003017842536792159, 0.00016758634592406452, 6.779450632166117e-05, 4.8971673095365986e-05, 3.3831147447926924e-05, 1.4494776223727968e-05, 5.801378210890107e-05, 1.4145909517537802e-05, 1.0696586286940146e-05, 5.896137372474186e-05, 3.61259953933768e-05, 3.0139797672745772e-05]]]",0.056853980000596493
Earthformer,RMSE,0.007964079268276691,"[[[0.005016348324716091, 0.011231116950511932, 0.015955422073602676, 0.016923798248171806, 0.012583384290337563, 0.007993998005986214, 0.006800912320613861, 0.005757954437285662, 0.003747953800484538, 0.007521151099354029, 0.003742978675290942, 0.003213678253814578, 0.0076620024628937244, 0.005862873047590256, 0.005447617266327143]]]",0.056853980000596493
Earthformer,MaxError,0.15845751762390137,"[[[0.04934650659561157, 0.10748368501663208, 0.15845751762390137, 0.1086263656616211, 0.13472968339920044, 0.0639117956161499, 0.06103849411010742, 0.04057806730270386, 0.02720111608505249, 0.04003196954727173, 0.026168465614318848, 0.021201133728027344, 0.056653887033462524, 0.05873161554336548, 0.048052966594696045]]]",0.056853980000596493
Earthformer,NRMSE,0.016168957576155663,"[[[0.009854473173618317, 0.021718768402934074, 0.028148449957370758, 0.03269104287028313, 0.023318598046898842, 0.012492811307311058, 0.010466502979397774, 0.008824589662253857, 0.006002546288073063, 0.012057779356837273, 0.0059999763034284115, 0.005131369922310114, 0.025328844785690308, 0.02142135426402092, 0.019077252596616745]]]",0.056853980000596493
Earthformer,R2,0.9986459612846375,"[[[0.99961256980896, 0.998104989528656, 0.996809184551239, 0.9956292510032654, 0.9977572560310364, 0.9993531703948975, 0.9995468854904175, 0.999689519405365, 0.9998547434806824, 0.9994174242019653, 0.999858021736145, 0.9998934864997864, 0.9974848628044128, 0.9981207251548767, 0.9985577464103699]]]",0.056853980000596493
UNET,MSE,5.821202285005711e-05,"[[[1.8115681086783297e-05, 7.28036611690186e-05, 0.00015714162145741284, 0.0002125381288351491, 0.00012767982843797654, 6.283761467784643e-05, 4.175317371846177e-05, 2.5609602744225413e-05, 1.68259230122203e-05, 1.1946762242587283e-05, 9.474641046836041e-06, 6.8931790337956045e-06, 3.7165133107919246e-05, 4.1684488678583875e-05, 3.071082755923271e-05]]]",0.020467351840343328
UNET,RMSE,0.00666160648688674,"[[[0.004216876346617937, 0.008369268849492073, 0.01234790775924921, 0.014181086793541908, 0.010892435908317566, 0.0077233766205608845, 0.0062526217661798, 0.004974950570613146, 0.004038634710013866, 0.0034399027936160564, 0.003071271115913987, 0.00261619477532804, 0.006015983875840902, 0.006327399052679539, 0.005456181708723307]]]",0.020467351840343328
UNET,MaxError,0.09033995866775513,"[[[0.03607499599456787, 0.06492835283279419, 0.08352404832839966, 0.09033995866775513, 0.07160425186157227, 0.059133946895599365, 0.05982905626296997, 0.03915274143218994, 0.03414595127105713, 0.0385512113571167, 0.0354648232460022, 0.03517007827758789, 0.04814481735229492, 0.0606730580329895, 0.04931372404098511]]]",0.020467351840343328
