Model Name,Metric Name,Average Value,Depth Values,Inference Time
FNN,MSE,4.352718679001555e-05,"[[[1.1571039976843167e-05, 4.1704290197230875e-05, 8.545975288143381e-05, 0.00010239615221507847, 8.985164458863437e-05, 0.00013494527956936508, 0.0001258825941476971, 2.7872032660525292e-05, 1.072935265256092e-05, 4.045282366860192e-06, 2.408197360637132e-06, 1.7612429701330257e-06, 5.407174739957554e-06, 5.059177510702284e-06, 3.814550609604339e-06]]]",0.014545035080518574
FNN,RMSE,0.005273162387311459,"[[[0.0033280227798968554, 0.006356127094477415, 0.009119314141571522, 0.009972332045435905, 0.0092287827283144, 0.011123423464596272, 0.010564456693828106, 0.005103462841361761, 0.003177991835400462, 0.0019750073552131653, 0.0015085458289831877, 0.0012773838825523853, 0.002249400829896331, 0.002198196016252041, 0.0019149873405694962]]]",V45035080518574
FNN,MaxError,0.10810226202011108,"[[[0.026842057704925537, 0.06359261274337769, 0.09387439489364624, 0.06559473276138306, 0.06472313404083252, 0.08788055181503296, 0.10810226202011108, 0.053029656410217285, 0.034361422061920166, 0.016258597373962402, 0.010718345642089844, 0.007953643798828125, 0.026158541440963745, 0.023557007312774658, 0.017652511596679688]]]",0.014545035080518574
FNN,NRMSE,0.008460075594484806,"[[[0.005615994334220886, 0.010563686490058899, 0.013849450275301933, 0.016613341867923737, 0.014718158170580864, 0.014881054870784283, 0.013910341076552868, 0.0067135039716959, 0.004372752737253904, 0.0027204719372093678, 0.002077849116176367, 0.00175309123005718, 0.006408874411135912, 0.0069252667017281055, 0.005777285434305668]]]",0.014545035080518574
FNN,R2,0.9987103343009949,"[[[0.9995824098587036, 0.9985414743423462, 0.9975074529647827, 0.9964101910591125, 0.9971129894256592, 0.9969540238380432, 0.9972456097602844, 0.9993889331817627, 0.9997423887252808, 0.999902606010437, 0.9999421238899231, 0.9999580383300781, 0.9994437098503113, 0.9993636608123779, 0.9995599985122681]]]",0.014545035080518574
LSTM,MSE,0.00041639816481620073,"[[[0.0003322239499539137, 0.0004088866990059614, 0.000556217331904918, 0.0005352497100830078, 0.00048598568537272513, 0.0006063804030418396, 0.0005713100545108318, 0.0005076150991953909, 0.00045539424172602594, 0.0004367120855022222, 0.00043037536670453846, 0.0004302279558032751, 0.0001756114506861195, 0.00015599551261402667, 0.00015778660599607974]]]",0.03165658500045538
LSTM,RMSE,0.01905226893723011,"[[[0.017203254625201225, 0.019364023581147194, 0.02271288074553013, 0.022447649389505386, 0.021333804354071617, 0.023837242275476456, 0.022945063188672066, 0.02111091837286949, 0.019839007407426834, 0.01938866265118122, 0.019249439239501953, 0.01924237422645092, 0.012792672030627728, 0.012135062366724014, 0.012181985192000866]]]",0.03165658500045538
LSTM,MaxError,0.14901214838027954,"[[[0.08148324489593506, 0.1420290470123291, 0.13270467519760132, 0.11112606525421143, 0.1218530535697937, 0.12708395719528198, 0.14901214838027954, 0.10719144344329834, 0.0943954586982727, 0.08952021598815918, 0.08327621221542358, 0.09766042232513428, 0.07178691029548645, 0.06461519002914429, 0.06346714496612549]]]",0.03165658500045538
LSTM,NRMSE,0.03169207647442818,"[[[0.029027694836258888, 0.03217661753296852, 0.03449428826570511, 0.03738480806350708, 0.034029193222522736, 0.03191656991839409, 0.030229082331061363, 0.02777070552110672, 0.02729613706469536, 0.026707453653216362, 0.026514705270528793, 0.02640870027244091, 0.0364459790289402, 0.038228344172239304, 0.03675081208348274]]]",0.03165658500045538
LSTM,R2,0.9858507513999939,"[[[0.9880156517028809, 0.9857079982757568, 0.9837754368782043, 0.9812423586845398, 0.9843656420707703, 0.9862568378448486, 0.9874653220176697, 0.988868772983551, 0.989072322845459, 0.9894960522651672, 0.9896494746208191, 0.9897281527519226, 0.9819349646568298, 0.9803817272186279, 0.9818002581596375]]]",0.03165658500045538
